Varenavn,Årsforbrug,Pris,Ordreomkostning,Rentesats
Elektronik Serie 100 Ultra #1528,290,1374,385,3.5
Elektronik Serie 100 Max #1529,456,348,257,6.6
Elektronik Serie 100 Compact #1530,463,1084,459,4.3
Elektronik Serie 100 Mini #1531,264,1357,277,5.4
Elektronik Serie 100 XL #1532,417,605,340,4.8
Elektronik Serie 100 S #1533,310,1363,337,5.3
Elektronik Serie 100 M #1534,84,439,120,6.4
Elektronik Serie 100 L #1535,474,1493,288,6.8
Elektronik Serie 100 XL #1536,138,920,388,7.2
Elektronik Serie 100 XXL #1537,435,583,284,6.5
Elektronik Serie 100 V1 #1538,369,1191,330,4.1
Elektronik Serie 100 V2 #1539,111,1415,297,7.5
Elektronik Serie 100 V3 #1540,240,1206,464,7.2
Elektronik Serie 100 MK2 #1541,311,1063,390,6.9
Elektronik Serie 100 MK3 #1542,300,462,130,6.0
Elektronik Serie 100 Gen2 #1543,198,1041,285,5.6
Elektronik Serie 100 Gen3 #1544,381,278,218,6.7
Elektronik Serie 100 Sort #1545,373,1107,463,3.7
Elektronik Serie 100 Hvid #1546,235,947,345,6.3
Elektronik Serie 100 Blå #1547,79,977,384,6.3
Elektronik Serie 100 Rød #1548,86,555,164,5.4
Elektronik Serie 100 Grøn #1549,183,477,259,5.7
Elektronik Serie 100 Grå #1550,295,858,392,4.7
Elektronik Serie 200 Pro #1551,451,531,240,6.9
Elektronik Serie 200 Plus #1552,79,1316,317,7.3
Elektronik Serie 200 Premium #1553,493,573,262,4.1
Elektronik Serie 200 Standard #1554,100,683,373,4.0
Elektronik Serie 200 Basic #1555,73,866,183,7.4
Elektronik Serie 200 Deluxe #1556,175,982,243,6.5
Elektronik Serie 200 Ultra #1557,488,1161,460,5.9
Elektronik Serie 200 Max #1558,425,1387,503,6.2
Elektronik Serie 200 Compact #1559,398,1130,348,7.3
Elektronik Serie 200 Mini #1560,283,312,276,5.2
Elektronik Serie 200 XL #1561,179,839,268,6.9
Elektronik Serie 200 S #1562,81,738,185,4.9
Elektronik Serie 200 M #1563,149,1288,421,4.1
Elektronik Serie 200 L #1564,414,666,298,7.1
Elektronik Serie 200 XL #1565,405,1349,312,6.1
Elektronik Serie 200 XXL #1566,205,555,292,4.3
Elektronik Serie 200 V1 #1567,159,1254,481,5.3
Elektronik Serie 200 V2 #1568,341,1457,384,5.1
Elektronik Serie 200 V3 #1569,393,694,310,5.9
Elektronik Serie 200 MK2 #1570,190,430,162,5.3
Elektronik Serie 200 MK3 #1571,159,1021,302,4.3
Elektronik Serie 200 Gen2 #1572,272,1061,303,6.6
Elektronik Serie 200 Gen3 #1573,461,687,163,4.9
Elektronik Serie 200 Sort #1574,208,1216,358,4.8
Elektronik Serie 200 Hvid #1575,231,1418,356,4.7
Elektronik Serie 200 Blå #1576,439,836,294,5.8
Elektronik Serie 200 Rød #1577,375,920,404,5.5
Elektronik Serie 200 Grøn #1578,276,689,282,6.8
Elektronik Serie 200 Grå #1579,109,1119,283,5.4
Elektronik Edition Pro #1580,475,445,287,7.3
Elektronik Edition Plus #1581,409,1058,386,5.7
Elektronik Edition Premium #1582,157,445,228,6.6
Elektronik Edition Standard #1583,359,418,176,5.8
Elektronik Edition Basic #1584,116,1162,415,4.5
Elektronik Edition Deluxe #1585,210,593,292,7.2
Elektronik Edition Ultra #1586,215,1184,463,7.0
Elektronik Edition Max #1587,342,1487,399,5.8
Elektronik Edition Compact #1588,365,1082,236,4.0
Elektronik Edition Mini #1589,149,1319,331,7.0
Elektronik Edition XL #1590,95,1278,379,6.7
Elektronik Edition S #1591,494,1174,455,7.0
Elektronik Edition M #1592,104,1351,269,4.3
Elektronik Edition L #1593,430,828,303,6.3
Elektronik Edition XL #1594,70,760,251,6.7
Elektronik Edition XXL #1595,429,673,204,6.0
Elektronik Edition V1 #1596,280,338,217,3.7
Elektronik Edition V2 #1597,319,1373,276,6.7
Elektronik Edition V3 #1598,470,643,213,7.1
Elektronik Edition MK2 #1599,192,457,198,5.7
Elektronik Edition MK3 #1600,77,887,335,4.3
Elektronik Edition Gen2 #1601,489,1436,356,5.2
Elektronik Edition Gen3 #1602,261,897,203,5.5
Elektronik Edition Sort #1603,248,1275,369,6.6
Elektronik Edition Hvid #1604,246,387,345,4.6
Elektronik Edition Blå #1605,414,295,332,5.4
Elektronik Edition Rød #1606,172,305,258,5.1
Elektronik Edition Grøn #1607,441,1190,346,5.8
Elektronik Edition Grå #1608,235,411,196,5.3
Elektronik Classic Pro #1609,425,666,194,3.9
Elektronik Classic Plus #1610,130,1297,450,5.1
Elektronik Classic Premium #1611,372,1278,479,6.4
Elektronik Classic Standard #1612,443,485,372,5.9
Elektronik Classic Basic #1613,441,418,118,6.4
Elektronik Classic Deluxe #1614,430,686,240,6.8
Elektronik Classic Ultra #1615,128,299,289,6.6
Elektronik Classic Max #1616,462,1281,381,3.9
Elektronik Classic Compact #1617,266,269,316,4.4
Elektronik Classic Mini #1618,140,369,146,7.5
Elektronik Classic XL #1619,298,1171,294,3.7
Elektronik Classic S #1620,190,989,340,4.1
Elektronik Classic M #1621,86,723,167,7.4
Elektronik Classic L #1622,334,1003,207,5.8
Elektronik Classic XL #1623,121,1285,340,6.3
Elektronik Classic XXL #1624,192,669,198,4.6
Elektronik Classic V1 #1625,429,620,152,7.3
Elektronik Classic V2 #1626,431,1047,423,6.1
Elektronik Classic V3 #1627,258,721,196,3.9
Elektronik Classic MK2 #1628,162,1440,277,4.7
Elektronik Classic MK3 #1629,377,857,205,7.1
Elektronik Classic Gen2 #1630,64,803,349,4.8
Elektronik Classic Gen3 #1631,405,646,333,5.9
Elektronik Classic Sort #1632,296,607,195,7.4
Elektronik Classic Hvid #1633,435,472,125,4.3
Elektronik Classic Blå #1634,295,1107,217,5.1
Elektronik Classic Rød #1635,241,954,331,4.2
Elektronik Classic Grøn #1636,322,1216,331,4.0
Elektronik Classic Grå #1637,395,1318,367,5.8
Elektronik Modern Pro #1638,489,847,218,7.0
Elektronik Modern Plus #1639,239,1461,414,3.8
Elektronik Modern Premium #1640,210,1199,377,5.5
Elektronik Modern Standard #1641,343,676,174,5.2
Elektronik Modern Basic #1642,426,997,305,6.2
Elektronik Modern Deluxe #1643,111,1056,439,6.8
Elektronik Modern Ultra #1644,358,487,238,3.7
Elektronik Modern Max #1645,440,382,109,6.7
Elektronik Modern Compact #1646,263,260,209,4.8
Elektronik Modern Mini #1647,294,1258,397,3.6
Elektronik Modern XL #1648,94,1032,454,7.2
Elektronik Modern S #1649,496,484,317,6.7
Elektronik Modern M #1650,401,1153,353,6.5
Elektronik Modern L #1651,486,1038,451,4.1
Elektronik Modern XL #1652,100,908,423,4.6
Elektronik Modern XXL #1653,233,454,303,5.2
Elektronik Modern V1 #1654,146,878,221,3.6
Elektronik Modern V2 #1655,456,663,193,4.8
Elektronik Modern V3 #1656,257,671,176,5.6
Elektronik Modern MK2 #1657,432,1365,421,4.0
Elektronik Modern MK3 #1658,402,1108,324,4.1
Elektronik Modern Gen2 #1659,241,783,180,5.7
Elektronik Modern Gen3 #1660,397,854,384,6.4
Elektronik Modern Sort #1661,338,327,343,5.8
Elektronik Modern Hvid #1662,492,1093,345,7.1
Elektronik Modern Blå #1663,102,418,348,5.9
Elektronik Modern Rød #1664,187,1298,268,5.9
Elektronik Modern Grøn #1665,478,297,136,6.8
Elektronik Modern Grå #1666,465,1175,356,4.6
Elektronik Industri Pro #1667,498,723,352,5.3
Elektronik Industri Plus #1668,344,1264,450,7.3
Elektronik Industri Premium #1669,95,1179,466,6.5
Elektronik Industri Standard #1670,463,305,172,3.8
Elektronik Industri Basic #1671,91,351,144,6.6
Elektronik Industri Deluxe #1672,377,861,260,5.5
Elektronik Industri Ultra #1673,126,457,155,7.0
Elektronik Industri Max #1674,384,1291,267,5.2
Elektronik Industri Compact #1675,360,717,304,5.7
Elektronik Industri Mini #1676,496,591,278,6.3
Elektronik Industri XL #1677,352,775,216,5.2
Elektronik Industri S #1678,450,515,133,3.5
Elektronik Industri M #1679,78,597,285,5.2
Elektronik Industri L #1680,227,1223,279,3.8
Elektronik Industri XL #1681,449,1038,447,6.1
Elektronik Industri XXL #1682,269,260,129,6.5
Elektronik Industri V1 #1683,266,927,305,4.8
Elektronik Industri V2 #1684,205,634,363,4.1
Elektronik Industri V3 #1685,270,1082,455,4.4
Elektronik Industri MK2 #1686,427,907,251,6.1
Elektronik Industri MK3 #1687,179,1309,482,6.5
Elektronik Industri Gen2 #1688,379,1233,284,5.2
Elektronik Industri Gen3 #1689,261,1186,358,3.6
Elektronik Industri Sort #1690,386,1404,305,6.7
Elektronik Industri Hvid #1691,132,1034,432,7.1
Elektronik Industri Blå #1692,426,522,137,5.4
Elektronik Industri Rød #1693,237,456,187,4.3
Elektronik Industri Grøn #1694,177,1349,500,5.9
Elektronik Industri Grå #1695,418,1443,277,4.7
Elektronik Professionel Pro #1696,369,404,116,6.3
Elektronik Professionel Plus #1697,203,723,330,4.7
Elektronik Professionel Premium #1698,146,347,250,6.9
Elektronik Professionel Standard #1699,182,731,310,4.6
Elektronik Professionel Basic #1700,478,1156,335,5.6
Elektronik Professionel Deluxe #1701,157,1265,256,6.1
Elektronik Professionel Ultra #1702,404,898,277,7.1
Elektronik Professionel Max #1703,372,626,256,3.8
Elektronik Professionel Compact #1704,144,986,420,4.1
Elektronik Professionel Mini #1705,81,1082,381,5.4
Elektronik Professionel XL #1706,108,1162,260,6.5
Elektronik Professionel S #1707,179,629,251,5.9
Elektronik Professionel M #1708,162,552,354,5.4
Elektronik Professionel L #1709,485,685,296,7.2
Elektronik Professionel XL #1710,414,1446,371,4.7
Elektronik Professionel XXL #1711,177,1045,371,4.4
Elektronik Professionel V1 #1712,127,1046,424,3.9
Elektronik Professionel V2 #1713,136,1002,392,5.9
Elektronik Professionel V3 #1714,191,1092,296,4.5
Elektronik Professionel MK2 #1715,162,1486,430,7.3
Elektronik Professionel MK3 #1716,65,943,325,6.1
Elektronik Professionel Gen2 #1717,395,1070,408,5.7
Elektronik Professionel Gen3 #1718,374,636,343,4.1
Elektronik Professionel Sort #1719,132,1138,400,5.6
Elektronik Professionel Hvid #1720,119,947,342,6.9
Elektronik Professionel Blå #1721,66,1157,394,6.2
Elektronik Professionel Rød #1722,120,930,396,6.1
Elektronik Professionel Grøn #1723,92,301,223,4.7
Elektronik Professionel Grå #1724,72,836,330,3.8
Elektronik Commercial Pro #1725,403,1158,391,3.7
Elektronik Commercial Plus #1726,82,338,275,4.3
Elektronik Commercial Premium #1727,231,595,256,6.5
Elektronik Commercial Standard #1728,90,1155,415,5.1
Elektronik Commercial Basic #1729,433,341,270,5.8
Elektronik Commercial Deluxe #1730,351,287,317,5.7
Elektronik Commercial Ultra #1731,191,1397,408,6.7
Elektronik Commercial Max #1732,97,531,304,6.7
Elektronik Commercial Compact #1733,205,1093,226,3.8
Elektronik Commercial Mini #1734,465,259,177,7.5
Elektronik Commercial XL #1735,125,320,235,5.8
Elektronik Commercial S #1736,296,389,178,5.8
Elektronik Commercial M #1737,182,645,293,5.5
Elektronik Commercial L #1738,200,571,289,4.3
Elektronik Commercial XL #1739,333,439,329,6.0
Elektronik Commercial XXL #1740,217,1171,307,4.1
Elektronik Commercial V1 #1741,439,950,354,5.6
Elektronik Commercial V2 #1742,428,764,395,4.6
Elektronik Commercial V3 #1743,334,1170,326,7.4
Elektronik Commercial MK2 #1744,367,301,252,5.9
Elektronik Commercial MK3 #1745,72,339,173,4.5
Elektronik Commercial Gen2 #1746,492,795,373,7.3
Elektronik Commercial Gen3 #1747,236,953,271,5.3
Elektronik Commercial Sort #1748,418,979,234,3.7
Elektronik Commercial Hvid #1749,397,1309,357,5.8
Elektronik Commercial Blå #1750,356,661,351,7.4
Elektronik Commercial Rød #1751,383,1008,289,5.7
Elektronik Commercial Grøn #1752,400,1032,209,5.2
Elektronik Commercial Grå #1753,192,1484,473,6.5
Elektronik Model A Pro #1754,499,442,310,7.3
Elektronik Model A Plus #1755,336,343,145,3.9
Elektronik Model A Premium #1756,377,1342,498,6.4
Elektronik Model A Standard #1757,275,1203,265,4.8
Elektronik Model A Basic #1758,118,1042,260,5.6
Elektronik Model A Deluxe #1759,85,681,339,4.7
Elektronik Model A Ultra #1760,80,584,312,6.6
Elektronik Model A Max #1761,207,1024,327,6.3
Elektronik Model A Compact #1762,456,840,421,6.9
Elektronik Model A Mini #1763,245,484,349,4.9
Elektronik Model A XL #1764,244,786,168,4.0
Elektronik Model A S #1765,355,1124,326,6.7
Elektronik Model A M #1766,418,1313,412,4.8
Elektronik Model A L #1767,234,737,408,4.3
Elektronik Model A XL #1768,325,1172,288,7.0
Elektronik Model A XXL #1769,270,942,430,7.0
Elektronik Model A V1 #1770,352,793,261,7.2
Elektronik Model A V2 #1771,186,790,312,7.0
Elektronik Model A V3 #1772,94,962,379,5.0
Elektronik Model A MK2 #1773,455,1245,316,3.8
Elektronik Model A MK3 #1774,364,1303,436,7.4
Elektronik Model A Gen2 #1775,364,371,156,7.2
Elektronik Model A Gen3 #1776,274,1071,430,5.8
Elektronik Model A Sort #1777,109,583,166,7.3
Elektronik Model A Hvid #1778,344,1156,400,4.2
Elektronik Model A Blå #1779,193,750,274,4.7
Elektronik Model A Rød #1780,306,827,247,4.7
Elektronik Model A Grøn #1781,90,1478,277,4.2
Elektronik Model A Grå #1782,241,1296,318,3.8
Elektronik Model B Pro #1783,290,577,262,6.3
Elektronik Model B Plus #1784,152,423,272,4.1
Elektronik Model B Premium #1785,214,1478,415,5.9
Elektronik Model B Standard #1786,151,587,286,4.4
Elektronik Model B Basic #1787,227,1252,420,6.6
Elektronik Model B Deluxe #1788,178,1133,442,6.4
Elektronik Model B Ultra #1789,82,324,130,4.1
Elektronik Model B Max #1790,209,527,244,6.9
Elektronik Model B Compact #1791,446,723,220,4.0
Elektronik Model B Mini #1792,258,416,301,5.1
Elektronik Model B XL #1793,140,828,303,4.9
Elektronik Model B S #1794,375,1373,382,7.1
Elektronik Model B M #1795,324,667,387,6.0
Elektronik Model B L #1796,206,843,282,4.1
Elektronik Model B XL #1797,77,632,386,3.9
Elektronik Model B XXL #1798,255,853,238,6.4
Elektronik Model B V1 #1799,249,1069,407,6.9
Elektronik Model B V2 #1800,227,1365,270,5.1
Elektronik Model B V3 #1801,471,1245,270,4.1
Elektronik Model B MK2 #1802,246,706,288,4.0
Elektronik Model B MK3 #1803,272,1325,419,6.9
Elektronik Model B Gen2 #1804,460,1192,373,3.6
Elektronik Model B Gen3 #1805,303,1018,226,5.2
Elektronik Model B Sort #1806,68,355,138,3.6
Elektronik Model B Hvid #1807,289,1403,443,6.8
Elektronik Model B Blå #1808,399,1293,294,7.1
Elektronik Model B Rød #1809,235,561,196,3.6
Elektronik Model B Grøn #1810,319,492,153,7.2
Elektronik Model B Grå #1811,64,1299,429,6.9
Elektronik Model C Pro #1812,87,337,289,6.3
Elektronik Model C Plus #1813,230,488,264,5.9
Elektronik Model C Premium #1814,200,858,390,5.8
Elektronik Model C Standard #1815,421,673,208,7.3
Elektronik Model C Basic #1816,425,795,256,4.6
Elektronik Model C Deluxe #1817,294,1423,493,5.3
Elektronik Model C Ultra #1818,233,740,321,5.5
Elektronik Model C Max #1819,212,813,375,7.3
Elektronik Model C Compact #1820,238,752,256,5.5
Elektronik Model C Mini #1821,402,330,130,6.3
Elektronik Model C XL #1822,368,871,301,7.4
Elektronik Model C S #1823,250,1360,266,6.8
Elektronik Model C M #1824,398,902,186,6.2
Elektronik Model C L #1825,72,1212,450,5.3
Elektronik Model C XL #1826,304,288,304,3.7
Elektronik Model C XXL #1827,98,1157,333,6.8
Elektronik Model C V1 #1828,262,311,131,4.6
Elektronik Model C V2 #1829,155,1290,364,5.4
Elektronik Model C V3 #1830,353,927,307,6.5
Elektronik Model C MK2 #1831,495,855,393,4.6
Elektronik Model C MK3 #1832,467,1112,373,6.6
Elektronik Model C Gen2 #1833,275,831,287,5.3
Elektronik Model C Gen3 #1834,60,993,332,3.9
Elektronik Model C Sort #1835,450,298,103,3.6
Elektronik Model C Hvid #1836,212,603,215,4.9
Elektronik Model C Blå #1837,301,490,346,6.2
Elektronik Model C Rød #1838,320,323,247,6.0
Elektronik Model C Grøn #1839,286,914,348,3.9
Elektronik Model C Grå #1840,299,955,255,5.9
Elektronik Type 1 Pro #1841,457,1361,394,7.1
Elektronik Type 1 Plus #1842,346,976,261,6.0
Elektronik Type 1 Premium #1843,147,928,315,5.0
Elektronik Type 1 Standard #1844,246,842,296,7.4
Elektronik Type 1 Basic #1845,331,1288,371,3.7
Elektronik Type 1 Deluxe #1846,422,992,304,5.4
Elektronik Type 1 Ultra #1847,419,668,222,4.6
Elektronik Type 1 Max #1848,72,349,238,5.2
Elektronik Type 1 Compact #1849,371,825,399,6.7
Elektronik Type 1 Mini #1850,163,1194,361,7.1
Elektronik Type 1 XL #1851,98,654,270,7.0
Elektronik Type 1 S #1852,354,1374,489,5.1
Elektronik Type 1 M #1853,458,476,367,6.7
Elektronik Type 1 L #1854,214,1486,423,5.9
Elektronik Type 1 XL #1855,296,431,316,4.2
Elektronik Type 1 XXL #1856,105,1205,256,4.7
Elektronik Type 1 V1 #1857,455,1261,300,5.3
Elektronik Type 1 V2 #1858,299,469,308,5.4
Elektronik Type 1 V3 #1859,122,1068,414,5.0
Elektronik Type 1 MK2 #1860,378,447,190,5.1
Elektronik Type 1 MK3 #1861,145,450,178,3.5
Elektronik Type 1 Gen2 #1862,248,1173,307,5.2
Elektronik Type 1 Gen3 #1863,334,1352,413,4.1
Elektronik Type 1 Sort #1864,167,600,217,7.1
Elektronik Type 1 Hvid #1865,126,1168,423,6.2
Elektronik Type 1 Blå #1866,463,539,213,3.8
Elektronik Type 1 Rød #1867,335,950,200,5.3
Elektronik Type 1 Grøn #1868,60,923,244,6.9
Elektronik Type 1 Grå #1869,163,1200,460,6.0
Elektronik Type 2 Pro #1870,149,646,177,3.5
Elektronik Type 2 Plus #1871,165,664,259,3.8
Elektronik Type 2 Premium #1872,141,836,263,3.9
Elektronik Type 2 Standard #1873,203,1125,278,6.7
Elektronik Type 2 Basic #1874,445,561,260,4.3
Elektronik Type 2 Deluxe #1875,206,1473,464,3.6
Elektronik Type 2 Ultra #1876,375,790,342,5.7
Elektronik Type 2 Max #1877,283,1295,265,4.1
Elektronik Type 2 Compact #1878,337,381,269,5.6
Elektronik Type 2 Mini #1879,76,1234,299,7.5
Elektronik Type 2 XL #1880,493,908,366,6.0
Elektronik Type 2 S #1881,116,1472,348,5.1
Elektronik Type 2 M #1882,285,600,147,3.8
Elektronik Type 2 L #1883,204,713,300,7.0
Elektronik Type 2 XL #1884,444,586,281,4.8
Elektronik Type 2 XXL #1885,387,1225,298,5.5
Elektronik Type 2 V1 #1886,484,883,373,5.2
Elektronik Type 2 V2 #1887,458,1127,455,5.4
Elektronik Type 2 V3 #1888,205,1000,227,6.9
Elektronik Type 2 MK2 #1889,117,299,160,4.8
Elektronik Type 2 MK3 #1890,460,259,250,5.1
Elektronik Type 2 Gen2 #1891,170,1144,317,7.3
Elektronik Type 2 Gen3 #1892,497,631,206,6.5
Elektronik Type 2 Sort #1893,354,518,185,6.2
Elektronik Type 2 Hvid #1894,131,528,227,5.8
Elektronik Type 2 Blå #1895,180,1346,383,5.2
Elektronik Type 2 Rød #1896,480,731,199,5.8
Elektronik Type 2 Grøn #1897,304,725,263,6.8
Elektronik Type 2 Grå #1898,184,1001,327,3.6
Elektronik Serie 100 Pro #1899,212,1474,328,5.6
Elektronik Serie 100 Plus #1900,286,1239,350,4.5
Elektronik Serie 100 Premium #1901,395,1458,479,4.1
Elektronik Serie 100 Standard #1902,83,1497,331,6.8
Elektronik Serie 100 Basic #1903,185,572,263,5.5
Elektronik Serie 100 Deluxe #1904,448,911,214,3.6
Elektronik Serie 100 Ultra #1905,221,1318,396,3.5
Elektronik Serie 100 Max #1906,220,407,180,6.1
Elektronik Serie 100 Compact #1907,373,1217,308,5.3
Elektronik Serie 100 Mini #1908,145,870,386,5.9
Elektronik Serie 100 XL #1909,152,620,213,5.5
Elektronik Serie 100 S #1910,429,503,175,6.5
Elektronik Serie 100 M #1911,62,1157,389,3.7
Elektronik Serie 100 L #1912,155,1381,361,4.4
Elektronik Serie 100 XL #1913,257,1366,424,5.7
Elektronik Serie 100 XXL #1914,226,851,221,7.4
Elektronik Serie 100 V1 #1915,103,844,226,3.9
Elektronik Serie 100 V2 #1916,86,1262,296,6.4
Elektronik Serie 100 V3 #1917,337,614,312,6.6
Elektronik Serie 100 MK2 #1918,247,1143,385,6.3
Elektronik Serie 100 MK3 #1919,103,293,133,5.5
Elektronik Serie 100 Gen2 #1920,214,812,350,3.7
Elektronik Serie 100 Gen3 #1921,84,873,325,4.3
Elektronik Serie 100 Sort #1922,132,653,149,5.8
Elektronik Serie 100 Hvid #1923,273,1435,365,7.0
Elektronik Serie 100 Blå #1924,152,419,189,6.8
Elektronik Serie 100 Rød #1925,218,1012,445,5.0
Elektronik Serie 100 Grøn #1926,493,957,273,5.4
Elektronik Serie 100 Grå #1927,448,1496,312,6.0
Elektronik Serie 200 Pro #1928,291,1447,435,6.9
Elektronik Serie 200 Plus #1929,329,486,370,5.9
Elektronik Serie 200 Premium #1930,435,955,349,5.8
Elektronik Serie 200 Standard #1931,319,782,226,3.8
Elektronik Serie 200 Basic #1932,203,978,313,4.9
Elektronik Serie 200 Deluxe #1933,123,315,128,4.5
Elektronik Serie 200 Ultra #1934,382,991,261,6.3
Elektronik Serie 200 Max #1935,125,716,396,3.5
Elektronik Serie 200 Compact #1936,118,550,276,7.2
Elektronik Serie 200 Mini #1937,418,903,276,7.2
Elektronik Serie 200 XL #1938,182,776,335,4.5
Elektronik Serie 200 S #1939,185,1151,293,5.6
Elektronik Serie 200 M #1940,333,1444,271,7.1
Elektronik Serie 200 L #1941,189,1208,348,4.7
Elektronik Serie 200 XL #1942,310,1000,368,6.1
Elektronik Serie 200 XXL #1943,129,483,133,5.7
Elektronik Serie 200 V1 #1944,146,495,237,5.0
Elektronik Serie 200 V2 #1945,399,1222,373,3.6
Elektronik Serie 200 V3 #1946,167,1020,357,7.3
Elektronik Serie 200 MK2 #1947,272,491,143,5.0
Elektronik Serie 200 MK3 #1948,223,573,365,6.5
Elektronik Serie 200 Gen2 #1949,305,1216,318,4.0
Elektronik Serie 200 Gen3 #1950,293,379,328,7.3
Elektronik Serie 200 Sort #1951,482,477,338,3.8
Elektronik Serie 200 Hvid #1952,499,1274,353,7.4
Elektronik Serie 200 Blå #1953,225,828,285,6.0
Elektronik Serie 200 Rød #1954,275,1312,451,4.3
Elektronik Serie 200 Grøn #1955,251,1373,342,4.0
Elektronik Serie 200 Grå #1956,107,487,155,6.9
Elektronik Edition Pro #1957,83,1103,350,6.1
Elektronik Edition Plus #1958,297,610,230,7.1
Elektronik Edition Premium #1959,99,1470,438,4.8
Elektronik Edition Standard #1960,116,337,295,6.9
Elektronik Edition Basic #1961,447,1303,492,7.4
Elektronik Edition Deluxe #1962,341,1001,265,7.1
Elektronik Edition Ultra #1963,456,1042,298,5.5
